Well,Cycle,Target Name,Rn
D3,43,,
D3,44,,
D3,45,,
D4,1,gene,85610.22656
D4,2,gene,84929.03906
D4,3,gene,84395.05469
D4,4,gene,84333.27344
D4,5,gene,84429.08594
D4,6,gene,84049.85938
D4,7,gene,83938.79688
D4,8,gene,83984.69531
D4,9,gene,84369.72656
D4,10,gene,84397.89063
D4,11,gene,84098.35938
D4,12,gene,84004.96875
D4,13,gene,84322.77344
D4,14,gene,83602.85156
D4,15,gene,83846.34375
D4,16,gene,83765.30469
D4,17,gene,84169.99219
D4,18,gene,84452.71094
D4,19,gene,84200.20313
D4,20,gene,84008.55469
D4,21,gene,84485.5625
D4,22,gene,85072.30469
D4,23,gene,86234.48438
D4,24,gene,86951.02344
D4,25,gene,90257.64844
D4,26,gene,94910.99219
D4,27,gene,102451.5
D4,28,gene,117348.4063
D4,29,gene,142334.7969
D4,30,gene,179645.125
D4,31,gene,220821.9688
D4,32,gene,240169.5625
D4,33,gene,247464.1563
D4,34,gene,251702.3906
D4,35,gene,255912.3281
D4,36,gene,262708.0625
D4,37,gene,273065.6563
D4,38,gene,288114.4688
D4,39,gene,303620.2813
D4,40,gene,319160.5938
D4,41,gene,335175.4063
D4,42,gene,349104.125
D4,43,gene,363739.375
D4,44,gene,376416.3438
D4,45,gene,386496.7813
D5,1,gene,68145.21094
D5,2,gene,67432.17969
D5,3,gene,66852.92188
D5,4,gene,66731.30469
D5,5,gene,66553.82813
D5,6,gene,66974.63281
D5,7,gene,66567.78125
D5,8,gene,66396.11719
D5,9,gene,66786.65625
D5,10,gene,66745.82031
D5,11,gene,66517.50781
D5,12,gene,66807.21875
D5,13,gene,66560.11719
D5,14,gene,66772.29688
D5,15,gene,66509.5625
D5,16,gene,66700.96875
D5,17,gene,66626.82813
D5,18,gene,66977.57031
D5,19,gene,67022.28906
D5,20,gene,66968.30469
D5,21,gene,66903.8125
D5,22,gene,67233.49219
D5,23,gene,66980.45313
D5,24,gene,67059.82813
D5,25,gene,67482.66406
D5,26,gene,68034.60938
D5,27,gene,68574.77344
D5,28,gene,69581.11719
D5,29,gene,72123.44531
D5,30,gene,76562.60938
D5,31,gene,84038.35156
D5,32,gene,97117.75781
D5,33,gene,119298.6484
D5,34,gene,147041.2656
D5,35,gene,161127.7344
D5,36,gene,162727.4844
D5,37,gene,168870.7344
